Team,QB,RB,WR,TE
ARI,20,9,17,20
ATL,23,15,6,28
BAL,7,10,30,2
BUF,31,32,28,24
CAR,2,26,2,8
CHI,4,11,1,26
CIN,26,17,29,11
CLE,21,25,12,16
DAL,5,14,8,12
DEN,30,19,26,19
DET,9,22,4,18
GB,13,18,3,30
HOU,24,21,27,27
IND,1,3,7,13
JAX,8,6,18,5
KC,29,30,15,31
LV,27,24,23,29
LAC,6,23,13,21
LAR,15,31,16,7
MIA,32,27,32,32
MIN,12,2,22,6
NE,22,8,24,23
NO,18,29,9,17
NYG,16,20,20,1
NYJ,28,13,31,15
PHI,17,16,21,4
PIT,14,4,19,10
SF,10,5,11,3
SEA,3,28,5,14
TB,11,12,10,22
TEN,25,7,25,25
WAS,19,1,14,9
